CoverageA,CoverageB,CoverageX,CoverageY,Effect size,Test,Value,p
1.0,1.0,0.88,1.0,1.00763245946,flowers-insects,0.884229752794,0.000322
1.0,1.0,1.0,1.0,1.08258120711,career-family,0.403921876475,0.019059
1.0,1.0,1.0,1.0,1.04596609948,german-asian,0.190111691994,0.008199
1.0,1.0,1.0,1.0,1.40738667362,german-turkish,0.272402409138,0.000396
1.0,1.0,1.0,1.0,1.44320444759,christianity-islam,0.352305045724,0.001126
1.0,1.0,1.0,1.0,0.42266449034,gendered-jobtitles-competence,2.44717446249,0.0
1.0,1.0,1.0,1.0,-0.780917314834,natural-social-sciences,-0.144692779635,0.914802
